libpcre2-8-0:amd64	10.46-1build1
libpcsclite1:amd64	2.4.1-1
libperl5.40:amd64	5.40.1-7ubuntu0.1
libpfm4:amd64	4.13.0+git106-g3e4031b-1
libpipewire-0.3-0t64:amd64	1.6.2-1ubuntu1.1
libpipewire-0.3-common	1.6.2-1ubuntu1.1
libpixman-1-0:amd64	0.46.4-1
libplist-2.0-4:amd64	2.7.0+git20250820-1build1
libplymouth5:amd64	24.004.60+git20250831.4a3c171d-0ubuntu8
libpmem1:amd64	1.13.1-1.1ubuntu4
libpmemobj1:amd64	1.13.1-1.1ubuntu4
libpng16-16t64:amd64	1.6.57-1
libpolkit-agent-1-0:amd64	127-2ubuntu1
libpolkit-gobject-1-0:amd64	127-2ubuntu1
libpopt0:amd64	1.19+dfsg-2build1
libpq5:amd64	18.4-0ubuntu0.26.04.1
libproc-processtable-perl:amd64	0.637-1
libproc2-0:amd64	2:4.0.4-9ubuntu1
libproxy1v5:amd64	0.5.12-1
libpsl5t64:amd64	0.21.2-1.1build2
libpulse0:amd64	1:17.0+dfsg1-2ubuntu4
libpwquality-common	1.4.5-5build1
libpwquality-tools	1.4.5-5build1
libpwquality1:amd64	1.4.5-5build1
